timestamp, device, port, bytesReceived, bytesSent
2022-10-20T16:04:39.503713,of:0000000000000004,2,0,556
2022-10-20T16:04:39.503732,of:0000000000000004,3,556,556
2022-10-20T16:04:39.503759,of:0000000000000001,1,556,556
2022-10-20T16:04:39.503778,of:0000000000000001,2,556,556
2022-10-20T16:04:39.503806,of:0000000000000002,1,556,556
2022-10-20T16:04:39.503826,of:0000000000000002,2,556,556
2022-10-20T16:04:39.503843,of:0000000000000002,3,556,556
2022-10-20T16:04:39.503869,of:0000000000000007,1,0,556
2022-10-20T16:04:39.503911,of:0000000000000007,2,0,556
2022-10-20T16:04:39.503931,of:0000000000000007,3,556,556
2022-10-20T16:04:39.503958,of:0000000000000005,1,556,556
2022-10-20T16:04:39.503978,of:0000000000000005,2,556,556
2022-10-20T16:04:39.503996,of:0000000000000005,3,556,556
2022-10-20T16:04:39.504020,of:0000000000000006,1,0,556
2022-10-20T16:04:39.504040,of:0000000000000006,2,0,556
2022-10-20T16:04:39.504059,of:0000000000000006,3,556,556
2022-10-20T16:04:40.507572,of:0000000000000003,1,0,556
2022-10-20T16:04:40.507662,of:0000000000000003,2,0,556
2022-10-20T16:04:40.507677,of:0000000000000003,3,556,556
2022-10-20T16:04:40.507696,of:0000000000000004,1,0,556
2022-10-20T16:04:40.507707,of:0000000000000004,2,0,556
2022-10-20T16:04:40.507717,of:0000000000000004,3,556,556
2022-10-20T16:04:40.507733,of:0000000000000001,1,556,556
2022-10-20T16:04:40.507743,of:0000000000000001,2,556,556
2022-10-20T16:04:40.507758,of:0000000000000002,1,556,556
2022-10-20T16:04:40.507768,of:0000000000000002,2,556,556
2022-10-20T16:04:40.507778,of:0000000000000002,3,556,556
2022-10-20T16:04:40.507793,of:0000000000000007,1,0,556
2022-10-20T16:04:40.507804,of:0000000000000007,2,0,556
2022-10-20T16:04:40.507813,of:0000000000000007,3,556,556
2022-10-20T16:04:40.507828,of:0000000000000005,1,556,556
2022-10-20T16:04:40.507838,of:0000000000000005,2,556,556
2022-10-20T16:04:40.507848,of:0000000000000005,3,556,556
2022-10-20T16:04:40.507862,of:0000000000000006,1,0,556
2022-10-20T16:04:40.507873,of:0000000000000006,2,0,556
2022-10-20T16:04:40.507883,of:0000000000000006,3,556,556
2022-10-20T16:04:41.508672,of:0000000000000003,1,0,556
2022-10-20T16:04:41.508761,of:0000000000000003,2,0,556
2022-10-20T16:04:41.508776,of:0000000000000003,3,556,556
2022-10-20T16:04:41.508795,of:0000000000000004,1,0,556
2022-10-20T16:04:41.508806,of:0000000000000004,2,0,556
2022-10-20T16:04:41.508816,of:0000000000000004,3,556,556
2022-10-20T16:04:41.508832,of:0000000000000001,1,556,556
2022-10-20T16:04:41.508842,of:0000000000000001,2,556,556
2022-10-20T16:04:41.508857,of:0000000000000002,1,556,556
2022-10-20T16:04:41.508867,of:0000000000000002,2,556,556
2022-10-20T16:04:41.508877,of:0000000000000002,3,556,556
2022-10-20T16:04:41.508892,of:0000000000000007,1,0,556
2022-10-20T16:04:41.508902,of:0000000000000007,2,0,556
2022-10-20T16:04:41.508912,of:0000000000000007,3,556,556
2022-10-20T16:04:41.508927,of:0000000000000005,1,556,556
2022-10-20T16:04:41.508937,of:0000000000000005,2,556,556
2022-10-20T16:04:41.508946,of:0000000000000005,3,556,556
2022-10-20T16:04:41.508961,of:0000000000000006,1,0,556
2022-10-20T16:04:41.508971,of:0000000000000006,2,0,556
2022-10-20T16:04:41.508980,of:0000000000000006,3,556,556
2022-10-20T16:04:42.510478,of:0000000000000003,1,0,556
2022-10-20T16:04:42.510560,of:0000000000000003,2,0,556
2022-10-20T16:04:42.510573,of:0000000000000003,3,556,556
2022-10-20T16:04:42.510590,of:0000000000000004,1,0,556
2022-10-20T16:04:42.510600,of:0000000000000004,2,0,556
2022-10-20T16:04:42.510609,of:0000000000000004,3,556,556
2022-10-20T16:04:42.510622,of:0000000000000001,1,556,556
2022-10-20T16:04:42.510631,of:0000000000000001,2,556,556
2022-10-20T16:04:42.510645,of:0000000000000002,1,556,556
2022-10-20T16:04:42.510654,of:0000000000000002,2,556,556
2022-10-20T16:04:42.510663,of:0000000000000002,3,556,556
2022-10-20T16:04:42.510677,of:0000000000000007,1,0,556
2022-10-20T16:04:42.510686,of:0000000000000007,2,0,556
2022-10-20T16:04:42.510695,of:0000000000000007,3,556,556
2022-10-20T16:04:42.510707,of:0000000000000005,1,556,556
2022-10-20T16:04:42.510716,of:0000000000000005,2,556,556
2022-10-20T16:04:42.510726,of:0000000000000005,3,556,556
2022-10-20T16:04:42.510739,of:0000000000000006,1,0,556
2022-10-20T16:04:42.510749,of:0000000000000006,2,0,556
2022-10-20T16:04:42.510758,of:0000000000000006,3,556,556
2022-10-20T16:04:43.511693,of:0000000000000003,1,0,278
2022-10-20T16:04:43.511789,of:0000000000000003,2,0,278
2022-10-20T16:04:43.511803,of:0000000000000003,3,278,278
2022-10-20T16:04:43.511823,of:0000000000000004,1,0,278
2022-10-20T16:04:43.511834,of:0000000000000004,2,0,278
2022-10-20T16:04:43.513330,of:0000000000000004,3,278,278
2022-10-20T16:04:43.513401,of:0000000000000001,1,278,278
2022-10-20T16:04:43.513416,of:0000000000000001,2,278,278
